15,Mater Misericordiae University Hospital,19,19,18,18,18,19,21,21,22,23,25,25,25,25,25,24,23,22,22,21,23,23,22,23,24,22,20,18,16,15,15,15,14,14,13,14,12,12,14,15,16,15,16,16,17,18,19,22,21,21,19,17
16,St Vincent's Hospital,16,18,18,19,18,20,22,23,25,26,27,28,27,26,24,22,22,20,20,20,20,21,21,22,23,21,21,18,15,12,9,9,9,12,14,16,17,18,19,19,19,19,20,21,23,22,22,23,23,22,22,22
17,Beaumont Hospital,28,27,26,24,23,26,30,31,32,33,33,30,30,30,28,26,25,27,29,29,26,31,31,30,29,28,29,28,28,26,25,24,22,22,24,26,27,27,28,30,29,31,33,33,31,29,29,27,25,26,26,25
18,Tallaght Hospital,6,6,5,6,7,8,9,9,10,11,10,10,10,9,9,8,8,8,7,7,7,8,8,7,7,6,7,7,7,8,8,8,9,9,9,9,9,9,9,9,10,10,11,11,11,11,10,10,9,8,7,6
19,Connolly Hospital,9,9,9,11,10,11,10,9,8,7,8,8,8,8,8,7,7,6,6,5,5,5,5,4,4,4,4,4,5,5,5,5,4,4,3,3,3,3,3,3,3,3,4,4,5,5,6,6,NULL,NULL,NULL,NULL
20,St James' Hospital,7,8,9,9,9,9,9,8,8,7,8,8,8,8,7,6,4,4,4,3,3,3,4,3,3,3,3,4,4,5,5,5,6,5,6,7,7,8,9,9,10,9,9,10,11,11,12,13,NULL,NULL,NULL,NULL
21,Mater Misericordiae University Hospital,14,15,17,18,19,22,22,22,19,19,19,19,19,19,20,19,18,17,18,18,16,16,15,16,14,14,14,15,17,17,18,18,19,16,14,15,14,13,13,15,17,19,18,19,18,19,19,19,NULL,NULL,NULL,NULL
22,St Vincent's Hospital,24,25,25,27,29,31,30,32,34,35,34,33,33,34,32,29,23,21,19,14,11,9,9,10,9,8,9,9,10,8,9,9,10,12,12,14,15,16,18,18,19,19,19,17,17,17,17,17,NULL,NULL,NULL,NULL
23,Beaumont Hospital,26,26,27,27,28,30,28,28,27,28,28,29,29,29,31,31,30,30,29,27,24,24,23,22,21,20,18,18,17,15,15,14,15,14,14,15,14,14,15,15,14,14,14,15,13,13,15,15,NULL,NULL,NULL,NULL
24,Tallaght Hospital,4,5,6,7,8,9,9,10,10,10,9,10,10,10,10,10,10,10,9,8,8,8,8,8,8,8,8,7,8,9,9,8,7,6,6,6,7,8,9,11,11,11,11,10,10,10,10,10,NULL,NULL,NULL,NULL
