Name,Address,County,ig_xcord,ig_ycord
"Balbriggan Medical Centre,","Clonard Street, Balbriggan, Co. Dublin, K32ed88",Dublin,320173.6566,263769.906
Baldoyle Medical Clinic,"Racecourse Shopping Centre, Grange Road, Dublin 13, D13n6w7",Dublin,323807.0486,240062.566
Ballinteer Medical,"Unit 1 Ballinteer Business Centre, Ballinteer Avenue, Dublin 16, EOE3",Dublin,316741.6566,226502.0629
"Ballsbridge Medical Centre, ","66 Merrion Road, Dublin 4, D04n1w5",Dublin,318264.7106,232245.9389
"Ballyboden Medical,","Unit 1, Ballyboden Shopping Centre, Taylor's Lane, Dublin 16, D16rk74",Dublin,313707.3756,227082.3749
Ballybrack Medical Centre,"4 Church Road, Ballybrack, Glenageary, Co. Dublin",Dublin,325152.24,224119.41
Ballycullen Medical Centre,"Firhouse Shopping Centre, Ballycullen Avenue, Dublin 24",Dublin,310676.7336,226879.1729
Ballyfermot Primary Care Centre,"Upper Ballyfermot Road, Dublin 10",Dublin,308884.0522,233518.8159
Ballygall Health Centre,"Ballygall Road West, Dublin 11",Dublin,313318.111,238828.3249
Ballymun Family Practice - 1st Floor,"Ballymun Civic Centre, Main Street, Dublin 9, D09c8p5",Dublin,315491.9702,239764.3909
Ballymun Family Practice - Ground Floor,"Ballymun Civic Centre, Main Street, Dublin 9, D09c8p5",Dublin,315491.9702,239764.3909
Ballyowen Castle Medical and Dental,"Ballyowen Castle Shopping Centre, Castle Road, Lucan, Co. Dublin",Dublin,305054.964,234182.898
Bath Avenue surgery,"4/6 Bath Avenue, Dublin 4, D04v8n8",Dublin,317608.2376,233345.634
Bay Ashcroft Jones,"1 Grange Manor Drive, Dublin 16, D16x254",Dublin,315171.8606,227519.3839
"Bayside Family Practice,","unit 4, Bayside Shopping Centre, Bayside Square East, Dublin 13, D13kt59",Dublin,323691.7828,239200.1088
"Beacon Clinic, ","Beacon Court, Sandyford Industrial Estate, Dublin 18",Dublin,318741.6256,226470.0309
Beaumont Park Clinic,"77 The Park, Beaumont Woods, Dublin 9, D09 T974",Dublin,317741.0006,239210.156
Beechlawn Medical Centre,"Carrickbrennan Road, Monkstown, Blackrock, Co. Dublin, A94nx03",Dublin,323222.5176,228439.3289
Belarmine Medical Centre,"Unit 40aBelarmine Plaza, Belarmine AvenueStepaside, Dublin 18, D18w5w9",Dublin,318707.0636,224850.3279
"Belgrove Medical Centre, ","3 Charleston Road, Dublin 6, D06V6T3",Dublin,315920.0572,231791.4229
Belmont Nursing Home,"Galloping Green, Stillorgan, Co. Dublin",Dublin,320938.2709,227061.5283
Benedin,"Benedin, Windgate Rise, Howth, Co. Dublin",Dublin,328954.197,237568.704
Birchview Surgery,"33 Birchview Close, Dublin 24, D24vny3",Dublin,309518.9736,228757.3919
"Bismilla And Co., ","98 Monastery Road, Dublin 22, D22v2f6",Dublin,307679.5756,231180.3689
Blackglen Medical Centre,"Blackglen Village Centre, Blackglen Road, Sandyford, Dublin 18, D18x7v7",Dublin,317217.1886,225694.5629
Blackrock Medical Centre,"2 Frascati Park, Blackrock, Co. Dublin, A94d1k2",Dublin,321259.6506,229351.6169
Blackrock Medical Clinic,"34 Main Street, Blackrock, Co. Dublin, A94 T6H3",Dublin,321521.5006,229420.2069
Blackrock Medical Practice,"62 Newtownpark Avenue, Blackrock, Co. Dublin, A94dh59",Dublin,321910.0826,228314.8899
Blanchardstown Medical Centre,"2 Main Street, Blanchardstown, Dublin 15, D15ehn9",Dublin,307935.7516,238659.421
Bloomfield Health Services ,"Stocking Lane, Dublin 16, D16c6t4",Dublin,313032.7816,225947.7029
"Boroimhe Medical Centre, ","Boroimhe Shopping Centre, Boroimhe, Swords, Co. Dublin, K67e9k0",Dublin,317052.4386,245522.047
Botanic Road Surgery,"97 Botanic Road, Glasnevin, Dublin 9",Dublin,315263.148,236819.049
Bracken Clinic,"12a Dublin Street, Balbriggan, Co. Dublin, K32dt29",Dublin,320228.1552,263530.438
"Braemor Family Practice, ","119b Braemor Road, Dublin 14, D14vk46",Dublin,315747.1006,229189.5999
"Brookstone Family Practice, ","Brookstone Road, Dublin 13, D13hd36",Dublin,324284.3776,240079.354
CAMHS Lucena Clinic,"59, Orwell Road, Dublin 6",Dublin,315248.1366,230231.4079
Cabra Medical Centre,"109 Cabra Road, Dublin 7, D07xh5v",Dublin,314139.4572,235936.9049
Caimin Rooney,"31 The Rise, Mount Merrion, Blackrock, Co. Dublin",Dublin,319390.723,229159.883
"Calderwood Family Clinic, ","28 Sion Hill Road, Dublin 9, D09px99",Dublin,317145.8216,237602.703
Capel Street Medical Centre,"138 Capel Street, Dublin 1, D01c4e9",Dublin,315266.7816,234464.8439
Capel Street Medical Centre,"138a Capel Street, Dublin 1",Dublin,315335.2214,234439.9836
Capuchin Day Care Centre,"28/29  Bow Street, Dublin 7",Dublin,314859.115,234588.9815
Caroline Donaghy,"109 Lower Dorset Street, Dublin 1",Dublin,315656.803,235572.115
Carysfort Clinic,"11 Proby Square, Blackrock, Co. Dublin, A94ad91",Dublin,321355.3086,228466.9709
"Castle Mill Medical Centre,","Castle Mill Shopping Centre, Hamlet Lane, Balbriggan, Co. Dublin",Dublin,318669.688,264078.875
Castle Surgery,"Castle Shopping Centre, Swords, Co. Dublin",Dublin,318167.031,246881.469
Castleknock Medical Centre,"Auburn Drive, Dublin 15, D15wyh9",Dublin,309220.0316,237716.9379
Catherine King,"172 Sundrive Road, Crumlin, Dublin 12",Dublin,313546.187,231858.873
Centre for Practice of Family Medicine,"Unit 3 Bonnybrook, Main Street, Blanchardstown, Dublin 15, D15yp03",Dublin,307969.3446,238630.0469
Centric Health - Barrow Medical,"Unit E2, The Gasworks, Barrow Street, Dublin 4, D04 C1K7",Dublin,317441.9006,233560.0999
Centric Health - Boroimhe Medical Centre,"Forest Road, Swords, Co. Dublin",Dublin,317064.4392,245522.0469
Centric Health - Churchtown Medical,"3 Landscape Road, Dublin 14, D14wc65",Dublin,315426.3076,229034.9919
Centric Health - Hilltop Surgery,"Unit 7, Hilltop, Raheny Road, Dublin 5, D05 F625",Dublin,321435.9226,238846.533
Centric Health - Old Bawn,"Old Bawn Shopping Centre, Old Bawn Road, Dublin 24",Dublin,309899.0768,226291.8484
"Centric Health GLENVIEW,","192b Glenview Park, Dublin 24",Dublin,310471.5976,227727.7013
Centric Health Sandyford Medical And Dental,"The Plaza, Beacon South Quarter, Dublin 18, D18 F729",Dublin,318963.3136,226747.4379
"Centric Health, Navan Road Primary Care Centre, ","Navan Road, Dublin 7, D07k229",Dublin,313010.6012,236140.1999
Chapelizod Medical Centre,"Belgrove Park, Dublin 20, D20kh70",Dublin,309796.4886,234660.8339
Charlestown Medical Centre,"Charlestown Shopping Centre, St Margaret's Road, Dublin 11.",Dublin,312904.313,240656.516
Charter Medical Group,"1st Floor Block G, Smithfield Market, Smithfield, Dublin 7, D07vkp9",Dublin,314613.0636,234648.75
Cherry Orchard Hospital,"Ballyfermot Road, Dublin 10, D10y821",Dublin,307982.0446,233803.6179
Children's Clinic,"398/400 North Circular Road, Dublin 7, D07er26",Dublin,315518.7676,235823.2189
Churchtown Family Practice,"111d Beaumont Avenue, Dublin 14, D14x5r5",Dublin,316267.3376,227853.0169
Churchtown Medical Centre,"67 Upper Churchtown Road, Churchtown, Dublin 14",Dublin,315930.466,228687.743
Clannad Medical Centre,"Unit 25/26, Kilbarrack Shopping Centre, Swan's Nest Road, Dublin 5, D05 K234",Dublin,321918.7816,239157.9539
Clondalkin Medical Centre,"24 Cherrywood Grove, Dublin 22, D22c3w9",Dublin,305974.8406,231270.2249
Clonsilla Medical Centre,"La Petit Maison, 1 Weaver's Row, Clonsilla Road, Dublin 15, D15wp93",Dublin,305859.6066,238134.363
Clonskeagh Family Practice,"36 Gledswood Drive, Dublin 14, D14y5v6",Dublin,317500.3186,229760.1139
Clontarf Family Practice,"14 Kincora Avenue, Dublin 3",Dublin,319226.9597,236301.5439
Clontarf General Practice,"188 Clontarf Road, Dublin 3, D03 C3W0",Dublin,320015.4426,235879.202
"Clontarf Medical Centre, ","26 Saint Gabriel's Road, Dublin 3, D03h016",Dublin,320846.2316,236471.357
Cloverhill Prison,"Cloverhill Road, Clondalkin, Dublin 22",Dublin,307532.9921,233549.7746
"Cluain Mhuire Community Mental Health Service,","Newtownpark Avenue, Blackrock, Co. Dublin, A94p6h3",Dublin,321936.5946,228544.3129
Clune Road Medical Centre,"23 Clune Road, Dublin 11, D11w95n",Dublin,313465.6702,239199.9379
Coady Medical,"Holy Ghost Missionary College Kimmage Manor, Whitehall Road, Dublin 12, D12p5yp",Dublin,312698.9806,230004.0239
College Gate Clinic,"123 Ballymun Road, Dublin 9, D09w523",Dublin,315373.5846,238623.847
College Health Centre,"Trinity College, Dublin 2",Dublin,316359.0006,234094
Collins Ave GP,"138 Collins Avenue, Dublin 9, D09w7w3",Dublin,318120.2086,237834.7059
Collins Barracks,"Collins Barracks Military Hospital, Cork",Dublin,313797.4266,234786.0489
Coolock Health Centre,"HSE, Coolock Health Centre, Cromcastle Road, Dublin 5, D05v026",Dublin,318592.8046,239870.863
Coombe Family Practice,"8 Dolphin's Barn Street, Dublin 8",Dublin,313996.2442,232983.3459
Corduff Primary Care Centre - Brookhaven Medical Centre,"Blackcourt Road, Dublin 15",Dublin,308073.0642,240050.0779
Corporation Health Ireland,"Corporate Health Ireland, 10/11 Exchange Place, I.f.s.c., Dublin 1",Dublin,316714.063,234572.719
Cremore Clinic,"66 Ballygall Road East, Dublin 11, D11 RX50",Dublin,314657.2536,238214.161
Crestfield Medical Practice,"14 Crestfield Drive, Dublin 9, D09ny94",Dublin,316376.5316,238701.5859
Crosby Medical Practice,"443 Howth Road, Dublin 5, D05y432",Dublin,321623.3476,238201.307
"Crosscare, ","1 Cathedral Street, Dublin 1, D01ef86",Dublin,315924.5842,234781.3549
Custom House Square Medical Centre,"2 Gandon House, Custom House Square, Mayor Street Lower, Dublin 1, D01cy50",Dublin,316851.9696,234686.0939
Cypress Clinic,"8 Cypress Park, Templeogue, Dublin 6w",Dublin,312828.158,229016.474
"D2 Medical Centre, ","Sapphire House, 1 Fitzwilliam Street Upper, Dublin 2, D02vy62",Dublin,316580.2336,233257.793
D3 Medical Centre,"196 Howth Road, Dublin 3, D03c1p8",Dublin,319469.0526,237179.314
D4 Medical Centre,"Upper Floor, 95a Morehampton Road, Dublin 4",Dublin,317247.2756,231872.8459
DCU St. Patiricks Campus Student Health Service,"Saint Patrick's College, Drumcondra Road Upper, Dublin 9, D09dy00",Dublin,316077.8332,237103.5519
DF Medical,"Ardfield House, Lower Main Street, Lucan, Co. Dublin",Dublin,302897.6002,235037.3019
DIT Health Centre- Bolton Street,"Bolton Street, Dublin 1, D01k822",Dublin,315261.7766,234843.4369
DIT Student Health Centre,"Dublin Institute Of Technology, Aungier Street, Dublin 2, D02hw71",Dublin,315434.0346,233420.5129
Dalkey Medical Practice,"4a Saint Patrick's Road, Dalkey, Co. Dublin, A96t2p0",Dublin,326456.6046,226948.1589
"Dame Street Medical Centre,","16 Dame Street, Dublin 2, D02td50",Dublin,315514.3386,234047.9269
"Darndale Health Centre, ","Darndale Belcamp Village Centre, Dublin 17, D17x050",Dublin,320072.5636,240554.625
Daughters Of Charity Service,"Unit 4, Coolmine Business Centre, Porters Avenue, Coolmine Industrial Estate, Dublin 15",Dublin,306438.207,238182.84
"Daughters of Charity Medical Clinic,","Saint Vincents Centre, Navan Road, Dublin 7",Dublin,311624.153,236647.674
Deansgrange Medical Centre,"Unit 1, 2 Clonkeen Road, Deansgrange, Blackrock, Co. Dublin",Dublin,322480.4256,226907.8519
Dental & Medical Clinic Benburb Street,"77 Benburb Street, Dublin 7, D07e9de",Dublin,314393.3136,234373.4689
Depaul Ireland,"Sundial House, 140 James's Street, Dublin 8",Dublin,313845.4324,233878.3275
"Doctor Dermot J. Halpin, ","Swords Road Medical Practice, 250 Swords Road, Dublin 9, D09e735",Dublin,316693.4656,239088.563
"Doctor Fenton,","154 Cooley Road, Dublin 12",Dublin,311590.639,232463.703
Doctor Niall Joyce,"8 Mountpleasant Avenue Upper, Dublin 6, D06a263",Dublin,315869.1606,232032.272
"Doctor Oliver Quinn, ","1 Errigal Road, Dublin 12, D12nv0a",Dublin,311802.9676,231868.847
Doctor Patricia Comer,"44 Haddington Road, Dublin 4, D04y718",Dublin,317185.5326,233155.673
Doctor Patrick Magovern,"3 Drummartin Road, Dublin 14, D14k0t9",Dublin,318495.7376,227965.0049
Doctors Rafter,"183 Rathmines Road Lower, Dublin 6, D06e3e5",Dublin,315519.1716,231689.3139
Doctors Walk-In Clinic Baggot Street,"111 Baggot Street Lower, Dublin 2",Dublin,316639.334,233213.333
"Doctors Walk-In Clinic, Rathmines","104 Rathmines Road Lower, Dublin 6, D06f9p0",Dublin,315587.8326,232070.9409
"Doctors Walk-In Clinic, Terenure","9 Rathmore Villas, Dublin 6w",Dublin,314439.033,230351.294
Dodder Park Medical,"4 Dodder Park Drive, Dublin 14, D14vy57",Dublin,314545.5626,229594.4369
"Dodsboro Clinic,","Unit 1/2 Woodview Court, Woodview, Lucan, Co. Dublin, K78y4c9",Dublin,302514.6262,234812.5159
"Donabate Clinic,","Warrington Mews, Main Street, Donabate, Co. Dublin, K36dh34",Dublin,322879.9066,250113
Donaghmede Medical Clinic,"Donaghmede Shopping Centre, Grange Road, Dublin 13, D13v9x6",Dublin,322211.1656,239858.026
"Dr Aliya Rahim - College Gate Clinic, ","123 Ballymun Road, Dublin 9, D09 W523",Dublin,315371.5846,238623.847
Dr Conor O'Hanlon / Dr Conor Ohanlon,"36 Willow Court, Greenpark, Dublin 22",Dublin,306670.039,230286.309
Dr Cyril Anthony Sanfey,"29 Ashfield Court, Huntstown, Dublin 15",Dublin,306230.055,240072.535
Dr Elizabeth Daly,"30 Sandycove Road, Sandycove, Co. Dublin",Dublin,325697.401,227786.318
Dr Eric Dilworth,"17a Cherryfield Lawn, Dublin 15, D15n729",Dublin,305086.9006,239106
Dr Eric Dilworth,"411 Ballyfermot Road, Dublin 10, D10k683",Dublin,309052.7306,233737.9639
Dr Fagan's surgery,"21 Woodpark, Ballinteer Avenue, Dublin 16, D16ht65",Dublin,316811.3926,226583.3149
Dr Gillian Darling,"44 Orpen Green, Blackrock, Co. Dublin, A94a8p9",Dublin,320887.2976,227938.4589
Dr J Hanlon / Dr K Hanlon,"199 Howth Road, Dublin 3, D03v6w9",Dublin,319633.6446,237212.345
Dr Lynch & Connolly Surgery,"11 Ballyowen Road, Lucan, Co. Dublin",Dublin,305211.153,234982.4484
Dr Mark Holmes,"Saint Margaret's, Greenfield Road, Dublin 13, D13h9h6",Dublin,325784.6232,239326.9399
Dr Peter Wai Yin Hooi,"105 Broadford Hill, Elm Park Estate, Ballinteer, Dublin 16",Dublin,316147.036,226880.176
Dr Richard Callan,"217 Decies Road, Dublin 10",Dublin,310259.6701,233341.5269
Dr Roland Ling,"14 Watermeadow Park, Old Bawn, Tallaght, Dublin 24",Dublin,309107.617,226895.039
Dr Seamus Kiernan,"Unit 11, Rosemount Park Drive, Rosemount Business Park, Dublin 11, D11y382",Dublin,309786.1566,240394.875
"Dr. A. Lehane Family Planning Clinic, ","59 Main Street, Swords, Co. Dublin, K67t802",Dublin,318132.1306,246633.493
Dr. Adnan Ahmad,"Apartment 26, Friarsland Cresent, Roebuck Road, Dublin 14",Dublin,317769.6828,229513.8989
Dr. Ahmad Ajina,"1a Orwell Park, Dublin 6w, D6wad14",Dublin,311822.2506,228981.8589
Dr. Ailish Leavy,"7 Castle Road, Dublin 3, D03vx88",Dublin,319450.2166,236179.16
Dr. Albina Malinauskiene,"5 Chapel Hill, Lucan, Co. Dublin",Dublin,303628.1456,235445.9783
"Dr. Alex Khourie, ","5 Saint Enda's Drive, Dublin 14",Dublin,314435.6276,227905.9679
Dr. Anette Sempka,"127/128 Francis Street, Dublin 8, D08 KV22",Dublin,314830.4696,233801.7339
"Dr. Anvor Amod, ","44 Westland Row, Dublin 2, D02w274",Dublin,316542.7696,233936.0709
"Dr. Arthur Searson, ","111 Trees Road Upper, Mount Merrion, Blackrock, Co. Dublin, A94k8p6",Dublin,318933.0926,228323.2729
"Dr. Barry Teeling, ","16 Maypark, Malahide Road, Dublin 5, D05c9n4",Dublin,318589.9756,237733.839
Dr. Bent & Kinsella,"17 Pembroke Cottages, Dundrum, Dublin 14, D14x2t7",Dublin,317101.9582,228019.5269
Dr. Bhutta Surgery,"34 Mount Carmel Road, Goatstown, Dublin 14.",Dublin,317396.6416,228749.2879
Dr. Brian Walsh,"Warren House, 16 Warrenhouse Road, Dublin 13, D13tr53",Dublin,324727.1776,239834.503
Dr. Cahill Surgery,"70 Serpentine Avenue, Dublin 4, D04e067",Dublin,318326.2126,232697.0219
"Dr. Callan,","2 Shantalla Road, Dublin 9",Dublin,317551.841,238698.7731
Dr. Cantwell & Gleeson Surgery,"5 Saint Enda's Drive, Dublin 14, D14t2p8",Dublin,314435.6276,227905.9679
Dr. Chi Chi Lee,"26 Clare Street, Dublin 2",Dublin,316455.0132,233755.7657
Dr. Claire McNicholas,"50 Marian Road, Dublin 14, D14r9p6",Dublin,313475.1726,228293.6699
Dr. Clement McCrory,"67 Clonkeen Road, Deansgrange, Blackrock, Co. Dublin, A94yc52",Dublin,322567.2462,226438.2649
Dr. Conway Surgery,"4a Seafield House, Seafield Park, Blackrock, Co Dublin",Dublin,322722.1538,228928.766
Dr. Cox,"2 Iveragh Road, Dublin 9, D09fk15",Dublin,316673.3386,238195.402
"Dr. Cyril Daly, ","296 Howth Road, Dublin 5, D05f8w8",Dublin,319916.3626,237603.607
Dr. D. Fitzpatrick,"80/82 Navan Road, Dublin 7, D07yn66",Dublin,312825.6426,236149.5849
Dr. Daly,"Unit 4, Castletymon Shopping Centre, Tymon Road, Dublin 24, D24tp8n",Dublin,310559.0006,228535.7499
Dr. Davina Healy,"Anchorage, 7 Castle Close, Sandycove, Co. Dublin, A96hw56",Dublin,325981.5956,227636.7129
Dr. Declan Whelan Practice,"Galen House, 68 Monkstown Road, Monkstown, Blackrock, Co. Dublin",Dublin,322991.548,228667.192
"Dr. Desmond Day, ","63 Main Street, Dublin 11, D11pdr3",Dublin,313123.3726,239033.479
Dr. Diarmuid O'Connell,"351 Crumlin Road, Dublin 12, D12ea43",Dublin,312297.6586,231996.6439
Dr. Donal O'Sullivan,"203 Le Fanu Road, Dublin 10, D10h984",Dublin,309419.5482,233659.7839
"Dr. Durkin, Daly, Field,","Killinarden Health Care Centre, Killinarden Heights, Dublin 24, D24yx96",Dublin,308071.3652,226331.9309
Dr. Egyed Surgery,"Rush, Co. Dublin.",Dublin,326603.469,254126.328
Dr. Eugene O'Connell,"Isolda, Kilmacud Road Upper, Dublin 14",Dublin,317967.7236,227862.7415
Dr. Fergus Purcell,"5 Castle Crescent, Dublin 22, D22y7y8",Dublin,307257.7496,231307.5449
"Dr. G. Ronan, ","123 Churchtown Road Lower, Dublin 14, D14e840",Dublin,316392.9886,228789.5789
"Dr. Geraldine Morrow, ","39 Grosvenor Road, Dublin 6, D06wr65",Dublin,315187.1076,231132.601
Dr. Goodwin McDonnell,"3 Ely Place Upper, Dublin 2, D02xv65",Dublin,316248.5116,233262.4189
"Dr. H. Nohilly, ","3 Woodford Grove, Dublin 22, D22w6e4",Dublin,307973.5026,231637.4869
Dr. Hassal Al Bayyari,"62 Maple Drive, Dublin 15, D15k29f",Dublin,307763.8506,237681.516
Dr. Helena Butterfield,"188 Malahide Road, Dublin 3, D03kt96",Dublin,318387.6616,237351.6739
"Dr. Ian O'grady, ","115 Morehampton Road, Dublin 4, D04a6y8",Dublin,317297.7156,231787.5009
"Dr. J. B. Conalty, ","16 Barton Road East, Dublin 14, D14xd77",Dublin,315837.7146,227741.3219
Dr. J.N. Mohamed,"31 Oak Avenue, Royal Oak, Santry, Dublin 9, D09ht95",Dublin,317239.7736,240404.626
"Dr. James Clarke,","Main Street, Rathcoole, Co. Dublin, D24y53k",Dublin,301721.0656,226744.1319
Dr. James Dolan,"191 Howth Road, Dublin 3, D03a3v7",Dublin,319480.4696,237136.746
Dr. James Hayden,"3 Sandyford Village, Dublin 18",Dublin,318421.4356,225876.5739
"Dr. James Moloney, ","12 Kingston Avenue, Dublin 16, D16v2y9",Dublin,316766.9696,225865.9379
"Dr. James O'Neill, ","52 The Coombe, Dublin 8, D08p588",Dublin,314647.3446,233566.6409
Dr. John Blennerhassett,"80a Malahide Road, Dublin 3, D03hk53",Dublin,318015.6886,236768.578
Dr. John Clements,"38 Dartmouth Square East, Dublin 6, D06ap65",Dublin,316269.0816,232662.9079
Dr. John O'Grady,"48 Tower Road, Dublin 22",Dublin,306977.3735,231175.4292
Dr. John Simon,"20 Birchview Drive, Dublin 24, D24vxr2",Dublin,309616.8296,228838.2699
Dr. John Taylor,"117a Ardlea Road, Dublin 5, D05n7f3",Dublin,318921.4026,238934.826
"Dr. Joseph P. Cranley, ","5/6 Main Street, Howth, Co. Dublin, D13p2c1",Dublin,328700.9486,239024.32
Dr. Joseph Yasbeck,"13 Marino Mart, Dublin 3",Dublin,317732.8581,236325.8417
Dr. K. Olinger,"Church Road, Saggart, Co. Dublin.",Dublin,303960.124,226900.066
Dr. K. Olinger,"7 Castle Crescent, Monastery Road, Clondalkin, Dublin 22",Dublin,308359.781,230954.625
Dr. Katherine Mullen,"130 Mount Merrion Avenue, Blackrock, Co. Dublin",Dublin,320010.0065,228912.0383
Dr. L Al Marsomi,"31 Grange Manor Road, Dublin 16",Dublin,315275.4722,227518.6778
"Dr. M. CullenBlackrock Clinic, ","Rock Road, Blackrock, Co. Dublin, A94e4x7",Dublin,320756.1766,229657.9969
"Dr. M. F. Whitty, ","9 Dalymount, Dublin 7, D07et81",Dublin,314744.7646,235915.883
Dr. M. Maguire,"31 Hazelwood Court, Dublin 5, D05dx88",Dublin,318772.2116,239277.071
"Dr. Marian Mcwade, ","Avoca Cottage, 12 Avoca Avenue, Blackrock, Co. Dublin, A94ev56",Dublin,320973.4366,228952.5339
Dr. McCormick,"Lowell House, 23 Herbert Avenue, Merrion Road, Dublin 4",Dublin,319322.1092,231063.7739
Dr. Michael Doyle,"632 South Circular Road, Dublin 8, D08hf80",Dublin,313023.0186,233433.6959
Dr. Michael Hooper,"Meadow Lodge, Mount Anville Road, Dublin 14",Dublin,318624.6262,228603.8214
Dr. Moczulska Surgery,"30 Coolmine Woods, Dublin 15, D15xe84",Dublin,307190.5856,238277.2189
Dr. Mohsin Khan,"169 Edgewood Lawns, Dublin 15",Dublin,307697.9307,239495.1419
"Dr. Nickrow, ","32 Dunville Avenue, Dublin 6, D06nr77",Dublin,316142.8566,231516.8999
"Dr. O'flynn, ","239 South Circular Road, Dublin 8, D08r2c1",Dublin,314167.2116,232651.5379
Dr. P.  Harte,"63 Haddington Road, Dublin 4, D04t0x3",Dublin,317091.0106,233054.4759
Dr. Padraic Doherty,"41 Sallynoggin Road Lower, Sallynoggin, Co. Dublin, A96r2t8",Dublin,323968.5316,226872.3279
Dr. Patrick Feeney,"96 Lower Kilmacud Road, Stillorgan, Co. Dublin, A94x5x5",Dublin,319050.3396,227976.3579
Dr. Patrick Fitzgerald,"Cluain Meala, 649, Collins Avenue Extension, Dublin 9, D09c6t0",Dublin,315659.7326,238962.305
"Dr. Patrick O' Kelly,","Glendale, 117 Newtownpark Avenue, Blackrock, Co. Dublin",Dublin,321621.3286,227782.9187
"Dr. Patrick O'connor, ","12 Glenview Park, Dublin 24, D24wk33",Dublin,310166.1296,227762.3649
Dr. Paul Heslin,"3 Beaumont Avenue, Dublin 14, D14k2n5",Dublin,316231.3736,227819.3659
"Dr. Peacock, ","86 Terenure Road East, Dublin 6, D06w7r2",Dublin,314438.2576,230250.3839
"Dr. Pearse Phelan,","3 Fitzwilliam Place, Dublin 2, D02yx78",Dublin,316462.6076,232974.638
Dr. Peter  O'Sullivan,"150 Rathgar Road, Dublin 6",Dublin,315312.4384,230975.1062
"Dr. Peter Keogh Surgery,","59a Old Bawn Way, Dublin 24, D24ry77",Dublin,309087.2202,226719.9999
Dr. Peter Staunton,"37 Woodlands Park, Stillorgan, Co. Dublin, A94kx81",Dublin,320018.5436,228847.6349
Dr. R. Feely,"Mondello, Richmond Ave, Monkstown, . Dublin",Dublin,323091.4278,228333.4134
Dr. Richard Fitzpatrick,"Burmet, 196 Glenageary Road Upper, Glenageary, Co. Dublin, A96fe09",Dublin,324837.6416,226830.6639
"Dr. Rita Brennan, ","9 Beechwood Avenue Lower, Dublin 6, D06yv07",Dublin,316293.5656,231551.3569
Dr. Robert Dybkowski,"Orby Chambers, 7 Coke Lane, Dublin 7, D07 T0FA",Dublin,314550.2966,234335.272
Dr. Robert Nelson,"17 Beechpark Avenue, Dublin 15, D15hp5h",Dublin,308931.2576,237535.032
Dr. Ronan O'Ferrall,"102 Slaney Road, Dublin Industrial Estate, Dublin 11, D11a268",Dublin,313781.1596,237346.426
"Dr. Rosaleen O'kelly, ","28 Brackenstown Village, Swords, Co. Dublin, K67f6e4",Dublin,317127.5316,246782.359
