date,region,type,value,percent
2006,Kildare,Private Owned,47634,78.63
2006,Kildare,Social/Voluntary Body,4878,8.05
2006,Kildare,Private Rented,6132,10.12
2006,Kildare,Not Stated,1934,3.19
2011,Kildare,Private Owned,51990,73.74
2011,Kildare,Social/Voluntary Body,4456,6.32
2011,Kildare,Private Rented,13128,18.62
2011,Kildare,Not Stated,930,1.32
2016,Kildare,Private Owned,52806,71.99
2016,Kildare,Social/Voluntary Body,5239,7.14
2016,Kildare,Private Rented,13690,18.66
2016,Kildare,Not Stated,1613,2.20
1991,Fingal,Private Owned,34383,85.25
1991,Fingal,Social/Voluntary Body,3513,8.71
1991,Fingal,Private Rented,2206,5.47
1991,Fingal,Not Stated,231,0.57
2002,Fingal,Private Owned,50172,82.98
2002,Fingal,Social/Voluntary Body,3096,5.12
2002,Fingal,Private Rented,5516,9.12
2002,Fingal,Not Stated,1676,2.77
2006,Fingal,Private Owned,62275,77.76
2006,Fingal,Social/Voluntary Body,6591,8.23
2006,Fingal,Private Rented,8261,10.32
2006,Fingal,Not Stated,2958,3.69
2011,Fingal,Private Owned,65261,70.21
2011,Fingal,Social/Voluntary Body,5614,6.04
2011,Fingal,Private Rented,20754,22.33
2011,Fingal,Not Stated,1322,1.42
2016,Fingal,Private Owned,65347,67.64
2016,Fingal,Social/Voluntary Body,6458,6.68
2016,Fingal,Private Rented,21339,22.09
2016,Fingal,Not Stated,3463,3.58
1991,Dún Laoghaire-Rathdown,Private Owned,45833,81.44
1991,Dún Laoghaire-Rathdown,Social/Voluntary Body,3911,6.95
1991,Dún Laoghaire-Rathdown,Private Rented,6250,11.11
1991,Dún Laoghaire-Rathdown,Not Stated,282,0.50
2002,Dún Laoghaire-Rathdown,Private Owned,51176,79.87
2002,Dún Laoghaire-Rathdown,Social/Voluntary Body,3570,5.57
2002,Dún Laoghaire-Rathdown,Private Rented,8106,12.65
2002,Dún Laoghaire-Rathdown,Not Stated,1219,1.90
2006,Dún Laoghaire-Rathdown,Private Owned,52590,76.91
2006,Dún Laoghaire-Rathdown,Social/Voluntary Body,5492,8.03
2006,Dún Laoghaire-Rathdown,Private Rented,8514,12.45
2006,Dún Laoghaire-Rathdown,Not Stated,1779,2.60
2011,Dún Laoghaire-Rathdown,Private Owned,53566,70.68
2011,Dún Laoghaire-Rathdown,Social/Voluntary Body,5010,6.61
2011,Dún Laoghaire-Rathdown,Private Rented,16149,21.31
2011,Dún Laoghaire-Rathdown,Not Stated,1061,1.40
2016,Dún Laoghaire-Rathdown,Private Owned,54289,69.10
2016,Dún Laoghaire-Rathdown,Social/Voluntary Body,5367,6.83
2016,Dún Laoghaire-Rathdown,Private Rented,17029,21.67
2016,Dún Laoghaire-Rathdown,Not Stated,1883,2.40
1991,Dublin City,Private Owned,99695,62.73
1991,Dublin City,Social/Voluntary Body,26980,16.98
1991,Dublin City,Private Rented,30035,18.90
1991,Dublin City,Not Stated,2206,1.39
2002,Dublin City,Private Owned,111456,61.69
2002,Dublin City,Social/Voluntary Body,19586,10.84
2002,Dublin City,Private Rented,40076,22.18
2002,Dublin City,Not Stated,9543,5.28
2006,Dublin City,Private Owned,110504,57.94
2006,Dublin City,Social/Voluntary Body,31894,16.72
2006,Dublin City,Private Rented,38753,20.32
2006,Dublin City,Not Stated,9560,5.01
2011,Dublin City,Private Owned,107552,51.75
2011,Dublin City,Social/Voluntary Body,26677,12.83
2011,Dublin City,Private Rented,69032,33.21
2011,Dublin City,Not Stated,4586,2.21
2016,Dublin City,Private Owned,105273,49.75
2016,Dublin City,Social/Voluntary Body,27928,13.20
2016,Dublin City,Private Rented,65626,31.02
2016,Dublin City,Not Stated,12764,6.03
