Quarter,Public Transport million trips,Bus Éireann,Dublin City Bus,Irish Rail,Luas,YoY Public Transport,QoQ Public Transport,%YoY Public Transport,%QoQ Public Transport,%QoQ Bus Eireann,%QoQ Dub City Bus ,%QoQ Irish Rail,%QoQ Luas,Bus Éireann,Dublin City Bus,Irish Rail,Luas
Q2 12,42.2,1.7,26.6,6.8,7.2,,-1.05,-7.60%,-2.40%,-2.90%,-3.10%,-1.20%,-1.20%,"1,654,519","26,616,626","6,753,781","7,161,459"
Q3 12,43.7,1.6,27.7,6.8,7.5,,1.51,-1.30%,3.60%,-1.00%,4.20%,1.20%,4.60%,"1,637,808","27,742,120","6,832,038","7,487,410"
Q4 12,44.9,1.7,28.8,6.8,7.5,,1.17,5.50%,2.70%,3.70%,4.00%,-0.10%,0.20%,"1,698,906","28,840,581","6,826,926","7,505,475"
Q1 13,43.7,1.6,28,6.5,7.6,,-1.15,1.10%,-2.60%,-5.70%,-2.80%,-4.50%,1.00%,"1,602,227","28,023,696","6,517,417","7,582,825"
Q2 13,43.7,1.6,28.1,6.5,7.5,,-0.02,3.60%,0.00%,0.30%,0.30%,-0.30%,-1.00%,"1,607,185","28,097,823","6,497,298","7,508,207"
Q3 13,43.8,1.6,27.9,6.5,7.7,,0.07,0.20%,0.20%,1.10%,-0.60%,0.50%,2.70%,"1,624,840","27,916,228","6,530,143","7,708,202"
Q4 13,44,1.6,28.3,6.4,7.7,,0.27,-1.80%,0.60%,-0.50%,1.40%,-2.20%,0.20%,"1,616,292","28,320,897","6,389,194","7,722,268"
Q1 14,44.7,1.7,28.6,6.5,7.9,,0.68,2.30%,1.50%,2.60%,1.00%,2.00%,2.70%,"1,658,353","28,617,649","6,516,505","7,932,218"
Q2 14,45.5,1.7,28.9,6.6,8.3,,0.78,4.10%,1.70%,5.00%,0.90%,1.90%,4.00%,"1,741,192","28,871,999","6,640,482","8,250,052"
Q3 14,45.2,1.6,29,6.6,8.1,,-0.28,3.30%,-0.60%,-9.50%,0.50%,-1.30%,-2.10%,"1,575,350","29,016,185","6,552,216","8,077,266"
Q4 14,45.6,1.5,29.1,6.8,8.2,,0.38,3.50%,0.80%,-5.10%,0.20%,3.50%,2.10%,"1,495,214","29,084,611","6,778,957","8,243,567"
Q1 15,45.4,1.3,29,6.8,8.2,,-0.23,1.50%,-0.50%,-10.60%,-0.20%,0.20%,-0.40%,"1,337,284","29,031,461","6,793,379","8,213,060"
Q2 15,46.3,1.2,29.5,6.9,8.6,,0.89,1.70%,2.00%,-8.30%,1.70%,2.20%,4.40%,"1,225,683","29,522,735","6,943,518","8,571,692"
Q3 15,47.7,1.3,30.5,7.1,8.8,,1.39,5.40%,3.00%,3.00%,3.20%,2.80%,2.70%,"1,262,343","30,456,557","7,136,156","8,799,006"
Q4 15,48.8,1.3,31.4,7.2,8.9,,1.11,6.90%,2.30%,4.60%,3.00%,1.20%,0.70%,"1,320,280","31,365,126","7,218,358","8,863,952"
Q1 16,49.3,1.3,31.8,7.6,8.6,,0.53,8.60%,1.10%,0.40%,1.40%,5.20%,-3.10%,"1,325,000","31,795,440","7,592,640","8,584,786"
Q2 16,48.5,1.4,32,7.6,7.6,,-0.78,4.90%,-1.60%,5.40%,0.50%,-0.30%,-11.60%,"1,396,042","31,962,082","7,572,028","7,592,371"
Q3 16,49.5,1.3,31.7,7.7,8.7,,0.93,3.80%,1.90%,-5.00%,-1.00%,2.20%,15.00%,"1,325,692","31,654,384","7,739,409","8,733,765"
Q4 16,49.8,1.3,31.6,7.9,9,,0.35,2.10%,0.70%,-0.40%,-0.30%,2.40%,3.00%,"1,320,245","31,560,123","7,923,671","8,995,837"
Q1 17,51.4,1.3,32.7,7.9,9.3,,1.55,4.20%,3.10%,1.90%,3.70%,0.00%,3.90%,"1,344,852","32,733,046","7,925,319","9,348,864"
Q2 17,51.7,1.2,33.2,8.1,9.2,,0.33,6.50%,0.60%,-13.80%,1.30%,2.70%,-1.40%,"1,159,890","33,169,003","8,139,462","9,214,927"
Q3 17,53.3,1.3,34.2,8.3,9.5,5,1.62,7.80%,3.10%,14.30%,3.10%,1.70%,3.10%,"1,326,131","34,198,139","8,279,112","9,502,547"
Q4 17,54.1,1.3,34.8,8.4,9.6,4.3,0.75,8.50%,1.40%,-2.60%,1.70%,1.00%,1.10%,"1,292,021","34,793,975","8,365,614","9,602,893"
Q1 18,54.1,1.3,34.6,8.4,9.8,2.8,0.05,5.40%,0.10%,2.50%,-0.50%,0.00%,2.00%,"1,324,431","34,617,071","8,365,094","9,796,558"
Q2 18,55.8,1.5,35.4,8.6,10.4,4.2,1.75,8.10%,3.20%,12.70%,2.30%,2.40%,6.10%,"1,492,285","35,399,102","8,561,761","10,395,749"
Q3 18,56.3,1.5,35.7,8.6,10.6,3,0.47,5.60%,0.80%,-2.80%,0.80%,0.50%,1.70%,"1,450,394","35,691,162","8,600,582","10,573,442"
Q4 18,57.7,1.6,36.4,8.7,11,3.6,1.34,6.70%,2.40%,8.10%,2.00%,1.30%,3.80%,"1,567,768","36,395,699","8,711,932","10,978,542"
Q1 19,59.2,1.6,37.2,8.8,11.6,5.1,1.59,9.50%,2.80%,0.70%,2.20%,1.30%,5.90%,"1,579,386","37,210,045","8,823,979","11,627,580"
Q2 19,60,1.6,37.8,8.8,11.8,4.2,0.8,7.50%,1.40%,3.20%,1.60%,0.10%,1.20%,"1,629,847","37,819,406","8,831,570","11,764,880"
Q3 19,61.4,1.6,38.7,8.9,12.2,5.1,1.4,9.10%,2.30%,1.00%,2.30%,1.10%,3.50%,"1,646,673","38,695,250","8,928,376","12,176,781"
Q4 19,62.6,1.7,39.5,9,12.4,5,1.2,8.70%,1.90%,2.60%,2.10%,1.10%,2.10%,"1,689,581","39,490,066","9,028,113","12,436,908"
